Confirmation Number,Invitee Status,Original Response Date (GMT),Registration Type,Sessions (All)
L3N3HCZL3W2,Accepted,2024-05-03T17:20:49.000Z,Staff Conference Only Pass,"Value Analysis Journey: From Concept to Reality, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
5BNNQTVX9MK,Accepted,2024-05-20T20:13:16.000Z,HCA Member Full Conference,"Value Analysis Journey: From Concept to Reality, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
83NLCR7V9VJ,Accepted,2024-05-31T18:54:13.000Z,Member Full Conference Registration,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
,Visited,2024-05-20T14:05:46.000Z,,
,No Response,,,
FWN4QGMFNLS,Accepted,2024-05-30T20:43:49.000Z,Complimentary Representatives,"Innovation in Healthcare, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, No, I will not attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, No, I will not attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
,No Response,,,
BWNX4DDV9JQ,Accepted,2024-05-11T20:43:32.000Z,Exhibitor Representative,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, No, I will not attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,Declined,2024-05-29T19:55:20.000Z,Member Full Conference Registration,
QGNK2T9XQWM,Accepted,2024-05-03T17:22:36.000Z,Complimentary Representatives,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
CNNVVWR6T7K,Accepted,2024-05-22T19:04:58.000Z,Complimentary Representatives,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,No Response,,,
RMNDXPDCVQF,Accepted,2024-05-29T14:51:43.000Z,Member Full Conference Registration,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
73NCM2XS8SV,Accepted,2024-04-26T16:18:20.000Z,Member Full Conference Registration,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
,No Response,,,
,No Response,,,
RTNCQXSRDBP,Accepted,2024-04-26T16:01:18.000Z,Member Full Conference Registration,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Med ‘Wreck’ to Med Rec: Medication Reconciliation Quality Improvement & Program Development, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
RHNXXDDQS9Q,Accepted,2024-05-07T13:51:12.000Z,Staff Conference Only Pass,"Innovation in Healthcare, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
5RNQBNSKNV6,Accepted,2024-05-15T13:58:37.000Z,Member Full Conference Registration,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, No, I will not attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
Z6NTKKRWHYY,Accepted,2024-04-26T13:48:17.000Z,HCA Member Full Conference,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
V5NV6ZZ3NJ5,Accepted,2024-04-26T12:00:50.000Z,Staff Conference Only Pass,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
6ZNLF5CLS4V,Accepted,2024-05-30T19:07:05.000Z,Exhibitor Representative,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, No, I will not attend the Closing General Session"
,Declined,2024-05-06T22:31:44.000Z,Member Full Conference Registration,
TLND68WY6QB,Accepted,2024-05-14T19:55:04.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, It’s About Time: Impact of Vancomycin AUC Dosing on Patient Outcomes & Pharmacy Workflow, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, No, I will not attend the Closing General Session"
,Visited,2024-04-14T19:26:54.000Z,,
,No Response,,,
VPN9GHMH7YS,Accepted,2024-05-02T17:54:18.000Z,Staff Full Conference,"2024 Executive Pharmacy Exchange, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
